,area_name,address_detail,lat,lon,land_price_per_square_meter
0,Chiyoda City,"6-25 Sanbanchō, Chiyoda City, Tōkyō-to 102-0075, Japan",35.6900865,139.7448373,3160000.0
1,Chiyoda City,"3-27 Kioichō, Chiyoda City, Tōkyō-to 102-0094, Japan",35.6820145,139.7376148,2020000.0
2,Chiyoda City,"6-1 Rokubanchō, Chiyoda City, Tōkyō-to 102-0085, Japan",35.6881428,139.7328694,4050000.0
3,Chiyoda City,"1-chōme-8-6 Fujimi, Chiyoda City, Tōkyō-to 102-0071, Japan",35.6977837,139.7450948,1550000.0
4,Chiyoda City,"2 Chome Kudankita, Chiyoda City, Tokyo 102-0073, Japan",35.6955761,139.7463623,2960000.0
5,Chiyoda City,"2 Chome-2 Hirakawachō, Chiyoda City, Tokyo 102-0093, Japan",35.6816603,139.7411728,2630000.0
6,Chiyoda City,"16-3 Ichibanchō, Chiyoda City, Tōkyō-to 102-0082, Japan",35.6883071,139.7408534,3030000.0
7,Chiyoda City,"1 Chome Ōtemachi, Chiyoda City, Tokyo 100-0004, Japan",35.6877339,139.7632912,14200000.0
8,Chiyoda City,"2-chōme-2-1 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.6801235,139.7619957,37600000.0
9,Chiyoda City,"2-chōme-7-15 Kanda Nishikichō, Chiyoda City, Tōkyō-to 101-0054, Japan",35.6916802,139.7628158,1330000.0
10,Chiyoda City,"1 Chome-2 Iwamotochō, Chiyoda City, Tokyo 101-0032, Japan",35.69154109999999,139.7758313,3200000.0
11,Chiyoda City,"3 Chome Sotokanda, Chiyoda City, Tokyo 101-0021, Japan",35.7012958,139.7706392,2580000.0
12,Chiyoda City,"2-chōme-9-1 Sotokanda, Chiyoda City, Tōkyō-to 101-0021, Japan",35.7008562,139.7687821,1190000.0
13,Chiyoda City,"1-chōme-1 Kanda Ogawamachi, Chiyoda City, Tōkyō-to 101-0052, Japan",35.6947279,139.7668253,5870000.0
14,Chiyoda City,"3-chōme-7-8 Misakichō, Chiyoda City, Tōkyō-to 101-0061, Japan",35.7017843,139.7516931,3360000.0
15,Chiyoda City,"1-chōme-12-6 Kōjimachi, Chiyoda City, Tōkyō-to 102-0083, Japan",35.684795,139.7436677,3960000.0
16,Chiyoda City,"2 Chome-1 Kudanminami, Chiyoda City, Tokyo 102-0074, Japan",35.69238989999999,139.747001,3410000.0
17,Chiyoda City,"4 Chome Iidabashi, Chiyoda City, Tokyo 102-0072, Japan",35.7009469,139.746522,4230000.0
18,,,,,
19,Chiyoda City,"2 Chome Iwamotochō, Chiyoda City, Tokyo 101-0032, Japan",35.6933689,139.777349,1100000.0
20,Chiyoda City,"2 Chome Nagatacho, Chiyoda City, Tokyo 100-0014, Japan",35.6755803,139.741572,8240000.0
21,Chiyoda City,"3-4 Nibanchō, Chiyoda City, Tōkyō-to 102-0084, Japan",35.6858548,139.7371115,4470000.0
22,Chiyoda City,"1-chōme-29-3 Kanda Jinbōchō, Chiyoda City, Tōkyō-to 101-0051, Japan",35.6949771,139.7595111,1590000.0
23,Chiyoda City,"2 Chome Hitotsubashi, Chiyoda City, Tokyo 101-0003, Japan",35.69330310000001,139.7578606,1580000.0
24,Chiyoda City,"3 Chome-5 Misakicho, Chiyoda City, Tokyo 101-0061, Japan",35.7008701,139.7518716,1390000.0
25,Chiyoda City,"3-chōme-2-3 Marunouchi, Chiyoda City, Tōkyō-to 100-0005, Japan",35.6777386,139.7617602,27500000.0
26,Chiyoda City,"3 Chome Iidabashi, Chiyoda City, Tokyo 102-0072, Japan",35.7016058,139.7492367,3760000.0
27,Chiyoda City,"2-chōme-4-2 Ōtemachi, Chiyoda City, Tōkyō-to 100-0004, Japan",35.6864697,139.7686537,29400000.0
28,Chiyoda City,"Kanda Aioicho, Chiyoda City, Tokyo 101-0029, Japan",35.6995,139.7736745,9240000.0
29,Chiyoda City,"1 Chome-1 Uchisaiwaichō, Chiyoda City, Tokyo 100-0011, Japan",35.671496,139.7578606,19400000.0
30,Chiyoda City,"2 Chome-2 Kajicho, Chiyoda City, Tokyo 101-0044, Japan",35.6913905,139.7715178,4020000.0
31,Chiyoda City,"1 Chome-12 Yūrakuchō, Chiyoda City, Tokyo 100-0006, Japan",35.6755361,139.7618536,22100000.0
32,Chiyoda City,"2-chōme-1-47 Kanda Surugadai, Chiyoda City, Tōkyō-to 101-0062, Japan",35.6997435,139.7619754,2420000.0
33,Chiyoda City,"2-chōme-2-15 Kanda Jinbōchō, Chiyoda City, Tōkyō-to 101-0051, Japan",35.6961651,139.7574188,5590000.0
34,Chiyoda City,"4 Chome Kudankita, Chiyoda City, Tokyo 102-0073, Japan",35.6929158,139.7390173,2130000.0
35,Chiyoda City,"4-chōme-4-2 Kōjimachi, Chiyoda City, Tōkyō-to 102-0083, Japan",35.6842569,139.735666,6550000.0
36,Chiyoda City,"1-chōme-3-3 Ōtemachi, Chiyoda City, Tōkyō-to 100-0004, Japan",35.6895036,139.7627413,27500000.0
37,Chiyoda City,"2 Chome-9 Uchikanda, Chiyoda City, Tokyo 101-0047, Japan",35.6910468,139.7686024,2800000.0
38,Chiyoda City,"4 Chome-2 Kudankita, Chiyoda City, Tokyo 102-0073, Japan",35.692037,139.7378997,6140000.0
39,千代田区,"東京 都 千代田 区 神田 司 町 ２ 丁目 １９, ２丁目-19 神田司町 千代田区 東京都 101-0048, Japan",35.6931199,139.7666194,1740000.0
40,Chiyoda City,"2-chōme-4-2 Sarugakuchō, Chiyoda City, Tōkyō-to 101-0064, Japan",35.6999066,139.7590069,1690000.0
41,Chiyoda City,"3-chōme-6-2 Higashikanda, Chiyoda City, Tōkyō-to 101-0031, Japan",35.697487,139.7818092,1000000.0
42,Chiyoda City,"1 Chome-1 Hirakawachō, Chiyoda City, Tokyo 102-0093, Japan",35.6831588,139.7413325,2890000.0
43,Chiyoda City,"Sotokanda, Chiyoda City, Tokyo 101-0021, Japan",35.7008193,139.7715977,5640000.0
